,ID,Title,Trans_Title,Content,Time,Source,Link,Want,has_read,read_later,tags
0,2023,瑞幸涨价，“背刺”返乡打工人,瑞幸漲價，“背刺”返鄉打工人,咖啡行業的價格戰，會就此結束嗎？,2025-02-01 16:01:21,36kr,https://36kr.com/p/3147329369578241,1,0,0,
1,1989,出货量暴跌10.3％！XR行业寒气逼人，AI成了救命稻草？,出貨量暴跌10.3％！XR行業寒氣逼人，AI成了救命稻草？,最大問題是缺乏殺手鐧應用。,2025-02-01 14:31:56,36kr,https://36kr.com/p/3146561161362945,1,0,0,
2,1969,最吸金的生物医药赛道，陷入混战中？,最吸金的生物醫藥賽道，陷入混戰中？,基因與細胞治療仍然是一級市場上最熱門的投資賽道。,2025-02-01 13:36:00,36kr,https://36kr.com/p/3145898183564041,1,0,0,
3,1879,这个春节，美国赌城全是中国AI投资人,這個春節，美國賭城全是中國AI投資人,從宏觀敘事到理性務實,2025-02-01 11:25:59,36kr,https://36kr.com/p/3147443075635712,1,0,0,
4,1875,身价暴涨50倍，00后过年，把“菜场配角”捧上客厅C位,身價暴漲50倍，00後過年，把“菜場配角”捧上客廳C位,好菜頭，好彩頭。,2025-02-01 11:14:09,36kr,https://36kr.com/p/3146699404515847,1,0,0,
5,1872,“特朗普2.0”，重构全球资产价格,“特朗普2.0”，重構全球資產價格,特朗普關稅政策若落地，或衝擊中國外貿出口，進而影響中國“經常項目順差、資本項目逆差”的格局。但也不需過度緊張，中國有足夠的政策工具減輕特朗普衝擊的影響,2025-02-01 11:08:13,36kr,https://36kr.com/p/3146010328521219,1,0,0,
6,1868,“特朗普2.0”重构全球资产价格｜年度精选,“特朗普2.0”重構全球資產價格｜年度精選,特朗普關稅政策若落地，或衝擊中國外貿出口，進而影響中國“經常項目順差、資本項目逆差”的格局。但也不需過度緊張，中國有足夠的政策工具減輕特朗普衝擊的影響,2025-02-01 11:07:37,36kr,https://36kr.com/p/3146010328521219,1,0,0,
7,1866,不回家的一线打工人，在非遗小城寻找年味儿,不回家的一線打工人，在非遺小城尋找年味兒,最新旅遊思路：找年味兒,2025-02-01 11:05:57,36kr,https://36kr.com/p/3145151908305666,1,0,0,
8,1865,光伏投资人众生相：从遍地黄金到如履薄冰，“天天说价格打不过别人”,光伏投資人眾生相：從遍地黃金到如履薄冰，“天天說價格打不過別人”,錢越來越“難搞”了,2025-02-01 11:02:47,36kr,https://36kr.com/p/3146108357876487,1,0,0,
9,1851,沉迷“寻宝”的东南亚人，把这款出海App干上总榜Top1,沉迷“尋寶”的東南亞人，把這款出海App幹上總榜Top1,打開地圖社交的想象空間。,2025-02-01 10:39:08,36kr,https://36kr.com/p/3146716012796673,1,0,0,
10,1850,特斯拉：AI 叙事继续狂飙（4Q24 业绩会纪要）,特斯拉：AI 敘事繼續狂飆（4Q24 業績會紀要）,詳見長橋App。,2025-02-01 10:39:06,36kr,https://36kr.com/p/3146025023150600,1,0,0,
11,1843,对 Deepseek 从赞叹到压制，硅谷为何一周内变脸,對 Deepseek 從讚歎到壓制，硅谷為何一週內變臉,開放，才是真正的未來。,2025-02-01 10:34:13,36kr,https://36kr.com/p/3146127487080969,1,0,0,
12,1842,春节档背后资本博弈：21亿接盘“保护”《唐探》，30亿豪赌《封神》，谁是大赢家？,春節檔背後資本博弈：21億接盤“保護”《唐探》，30億豪賭《封神》，誰是大贏家？,你看好哪部？,2025-02-01 10:34:10,36kr,https://36kr.com/p/3146126532139782,1,0,0,
13,1834,沉迷“寻宝”的东南亚人，把这款出海App干上总榜Top1｜对话创始人,沉迷“尋寶”的東南亞人，把這款出海App幹上總榜Top1｜對話創始人,打開地圖社交的想象空間。,2025-02-01 10:22:48,36kr,https://36kr.com/p/3146716012796673,1,0,0,
14,1833,抠门的年轻人，让深圳水贝开卖黄金平替,摳門的年輕人，讓深圳水貝開賣黃金平替,金價飆升下的深圳水貝，奮力抓住年輕人。,2025-02-01 10:22:46,36kr,https://36kr.com/p/3146582711926281,1,0,0,
15,1826,春节县城医美火了，有机构4.3折起抢客,春節縣城醫美火了，有機構4.3折起搶客,“打工人”回鄉帶火縣城美業。,2025-02-01 10:08:48,36kr,https://36kr.com/p/3146223076989442,1,0,0,
16,1825,连锁酒店冲向小众城市：潮汕春节爆单，泉州半年开业超20家,連鎖酒店衝向小眾城市：潮汕春節爆單，泉州半年開業超20家,連鎖酒店房價趕超2000元。,2025-02-01 10:08:43,36kr,https://36kr.com/p/3146223050840832,1,0,0,
17,1823,金庸的时代，还在吗？,金庸的時代，還在嗎？,金庸的時代，時代的金庸。,2025-02-01 10:05:00,36kr,https://36kr.com/p/3146553225796103,1,0,0,
18,1821,苹果：大模型“瘦身”，硬件成最后赢家？,蘋果：大模型“瘦身”，硬件成最後贏家？,蘋果本次財報整體還不錯，市場的顧慮已經被提前消化，公司也沒交出“更差”的表現。,2025-02-01 10:02:58,36kr,https://36kr.com/p/3146025063996166,1,0,0,
19,1819,重磅！OpenAI推o3-mini新模型，被DeepSeek逼急？定价仍打不过,重磅！OpenAI推o3-mini新模型，被DeepSeek逼急？定價仍打不過,高質AI推理模型走向普及。,2025-02-01 09:48:07,36kr,https://36kr.com/p/3147159755004679,1,0,0,
20,1808,年轻人接管春节后，开始定制“好运”了,年輕人接管春節後，開始定製“好運”了,新的一年，祝大家好運爆棚！,2025-02-01 09:03:53,36kr,https://36kr.com/p/3146067940071941,1,0,0,
21,1807,2025年，不要给自己设定太清晰的目标,2025年，不要給自己設定太清晰的目標,重新思考目標：非線性目標設定的科學。,2025-02-01 09:03:51,36kr,https://36kr.com/p/3118113467273472,1,0,0,
22,1806,8000亿，2025年美股第一大能源IPO要来了,8000億，2025年美股第一大能源IPO要來了,能源賽道，要迎來一大猛將,2025-02-01 09:03:49,36kr,https://36kr.com/p/3146017524538119,1,0,0,
23,1780,DeepSeek在美两重天：五大巨头接入，政府诚惶诚恐,DeepSeek在美兩重天：五大巨頭接入，政府誠惶誠恐,DeepSeek遭美國多部門牽頭抵制，科技巨頭擁抱入懷。,2025-02-01 08:10:00,36kr,https://36kr.com/p/3146488102656514,1,0,0,
24,1667,2025，史上最强春节档？,2025，史上最強春節檔？,.,2025-01-31 17:48:44,36kr,https://36kr.com/p/3144470037617154,1,0,0,
25,1615,清华翟季冬：DeepSeek 百倍算力效能背后的系统革命 | 智者访谈,清華翟季冬：DeepSeek 百倍算力效能背後的系統革命 | 智者訪談,中美硬件差異下的算力突圍,2025-01-31 15:31:18,36kr,https://36kr.com/p/3144835983071750,1,0,0,
26,1412,从神话仙侠剧到恐怖惊悚片，为何都偏爱让蛇当主角？,從神話仙俠劇到恐怖驚悚片，為何都偏愛讓蛇當主角？,熒屏上各種與蛇相關的角色或妖或仙，或美豔魅惑或可愛無爭，經過長久發展，在不斷的加工、改編和完善中逐漸形成了一種獨特的“蛇妖”文化，也衍生出眾多耳熟能詳的經典形象。,2025-01-31 12:23:38,36kr,https://36kr.com/p/3144821538619144,1,0,0,
27,1404,171项专利，撑起了一个33亿IPO,171項專利，撐起了一個33億IPO,蘇州，又要誕生一個IPO。,2025-01-31 12:04:07,36kr,https://36kr.com/p/3144947090201344,1,0,0,
28,1401,离开春晚12年，赵本山还好吗？,離開春晚12年，趙本山還好嗎？,“人生沒有僥倖，也沒有那些必然”。,2025-01-31 11:58:11,36kr,https://36kr.com/p/3144956882262789,1,0,0,
29,1394,我在县城创业13年，让家人过上了向往的生活｜小城创客,我在縣城創業13年，讓家人過上了嚮往的生活｜小城創客,“就想自己創業，趁年輕先做了再說，大不了失敗重來。”,2025-01-31 11:45:00,36kr,https://36kr.com/p/3145091743783686,1,0,0,
